chr,source,id,start,end,.,strand,..,annotation,seqLen,geneName
chr4,refGene,transcript,35706648,36951744,.,-,.,gene_id Lingo2; transcript_id NM_001165999;  gene_name Lingo2;,1245096,Lingo2
chr9,refGene,transcript,9660891,10904775,.,-,.,gene_id Cntn5; transcript_id NM_001170787;  gene_name Cntn5;,1243884,Cntn5
chr17,refGene,transcript,10840359,12063366,.,+,.,gene_id Prkn; transcript_id NM_016694;  gene_name Prkn;,1223007,Prkn
chr15,refGene,transcript,47580638,48791989,.,-,.,gene_id Csmd3; transcript_id NM_001081391;  gene_name Csmd3;,1211351,Csmd3
chr6,refGene,transcript,61180325,62382863,.,+,.,gene_id Ccser1; transcript_id NM_183310;  gene_name Ccser1;,1202538,Ccser1
chr10,refGene,transcript,31689319,32889915,.,-,.,gene_id Nkain2; transcript_id NM_001013411;  gene_name Nkain2;,1200596,Nkain2
chr19,refGene,transcript,30564487,31765033,.,-,.,gene_id Prkg1; transcript_id NM_001013833;  gene_name Prkg1;,1200546,Prkg1
chr16,refGene,transcript,73892306,75092770,.,-,.,gene_id Robo2; transcript_id NM_001358493;  gene_name Robo2;,1200464,Robo2
chr7,refGene,transcript,59272737,60450177,.,-,.,gene_id Snhg14; transcript_id NR_146211;  gene_name Snhg14;,1177440,Snhg14
chr2,refGene,transcript,161521988,162661147,.,-,.,gene_id Ptprt; transcript_id NM_001291151;  gene_name Ptprt;,1139159,Ptprt
chr8,refGene,transcript,37522554,38661508,.,-,.,gene_id Sgcz; transcript_id NM_145841;  gene_name Sgcz;,1138954,Sgcz
chr8,refGene,transcript,57774052,58911627,.,-,.,gene_id Galntl6; transcript_id NM_175032;  gene_name Galntl6;,1137575,Galntl6
chr4,refGene,transcript,103619500,104744843,.,+,.,gene_id Dab1; transcript_id NM_001369046;  gene_name Dab1;,1125343,Dab1
chrX,refGene,transcript,167471306,168577234,.,-,.,gene_id Frmpd4; transcript_id NM_001369234;  gene_name Frmpd4;,1105928,Frmpd4
chr5,refGene,transcript,131437333,132543220,.,-,.,gene_id Auts2; transcript_id NM_001363480;  gene_name Auts2;,1105887,Auts2
chr14,refGene,transcript,38368951,39473088,.,-,.,gene_id Nrg3; transcript_id NM_001190188;  gene_name Nrg3;,1104137,Nrg3
chr10,refGene,transcript,89873509,90973300,.,+,.,gene_id Anks1b; transcript_id NM_001128086;  gene_name Anks1b;,1099791,Anks1b
chr6,refGene,transcript,76881637,77979667,.,-,.,gene_id Ctnna2; transcript_id NM_145732;  gene_name Ctnna2;,1098030,Ctnna2
chr18,refGene,transcript,71253632,72351069,.,-,.,gene_id Dcc; transcript_id NM_007831;  gene_name Dcc;,1097437,Dcc
chr11,refGene,transcript,80880165,81968396,.,-,.,gene_id Asic2; transcript_id NM_001034013;  gene_name Asic2;,1088231,Asic2
chr1,refGene,transcript,68032187,69108059,.,-,.,gene_id Erbb4; transcript_id NM_010154;  gene_name Erbb4;,1075872,Erbb4
chr17,refGene,transcript,90033644,91092802,.,-,.,gene_id Nrxn1; transcript_id NM_020252;  gene_name Nrxn1;,1059158,Nrxn1
chr9,refGene,transcript,116572747,117629913,.,-,.,gene_id Rbms3; transcript_id NM_001172121;  gene_name Rbms3;,1057166,Rbms3
chr14,refGene,transcript,116925297,117979529,.,+,.,gene_id Gpc6; transcript_id NM_011821;  gene_name Gpc6;,1054232,Gpc6
chr8,refGene,transcript,118283611,119324927,.,+,.,gene_id Cdh13; transcript_id NM_019707;  gene_name Cdh13;,1041316,Cdh13
chr14,refGene,transcript,22019712,23056088,.,+,.,gene_id Lrmda; transcript_id NM_028275;  gene_name Lrmda;,1036376,Lrmda
chr4,refGene,transcript,65380803,66404483,.,-,.,gene_id Astn2; transcript_id NM_019514;  gene_name Astn2;,1023680,Astn2
chr6,refGene,transcript,105677667,106700135,.,+,.,gene_id Cntn4; transcript_id NM_001364566;  gene_name Cntn4;,1022468,Cntn4
chr1,refGene,transcript,61638824,62642284,.,+,.,gene_id Pard3b; transcript_id NM_001081050;  gene_name Pard3b;,1003460,Pard3b
chr3,refGene,transcript,23798103,24784006,.,-,.,gene_id Naaladl2; transcript_id NM_001326288;  gene_name Naaladl2;,985903,Naaladl2
chr5,refGene,transcript,141241534,142213791,.,+,.,gene_id Sdk1; transcript_id NM_177879;  gene_name Sdk1;,972257,Sdk1
chr9,refGene,transcript,28994749,29963269,.,-,.,gene_id Ntm; transcript_id NM_001357598;  gene_name Ntm;,968520,Ntm
chr16,refGene,transcript,66655416,67620908,.,-,.,gene_id Cadm2; transcript_id NM_001347247;  gene_name Cadm2;,965492,Cadm2
chr16,refGene,transcript,59653483,60605531,.,-,.,gene_id Epha6; transcript_id NM_007938;  gene_name Epha6;,952048,Epha6
chr1,refGene,transcript,129273304,130219278,.,+,.,gene_id Thsd7b; transcript_id NM_172485;  gene_name Thsd7b;,945974,Thsd7b
chrX,refGene,transcript,162407200,163352564,.,-,.,gene_id Bc1; transcript_id NR_038088_2;  gene_name Bc1;,945364,Bc1
chr1,refGene,transcript,8359739,9299877,.,-,.,gene_id Sntg1; transcript_id NM_001290390;  gene_name Sntg1;,940138,Sntg1
chr11,refGene,transcript,36006656,36944241,.,-,.,gene_id Tenm2; transcript_id NM_011856;  gene_name Tenm2;,937585,Tenm2
chr12,refGene,transcript,41024090,41955588,.,+,.,gene_id Immp2l; transcript_id NM_053122;  gene_name Immp2l;,931498,Immp2l
chr6,refGene,transcript,110645512,111567230,.,+,.,gene_id Grm7; transcript_id NM_001346640;  gene_name Grm7;,921718,Grm7
chr1,refGene,transcript,125913636,126830632,.,-,.,gene_id Nckap5; transcript_id NM_001081756;  gene_name Nckap5;,916996,Nckap5
chr8,refGene,transcript,114439652,115352712,.,+,.,gene_id Wwox; transcript_id NM_019573;  gene_name Wwox;,913060,Wwox
chr5,refGene,transcript,26817357,27727500,.,+,.,gene_id Dpp6; transcript_id NM_010075;  gene_name Dpp6;,910143,Dpp6
chr3,refGene,transcript,25421808,26331909,.,-,.,gene_id Nlgn1; transcript_id NM_138666;  gene_name Nlgn1;,910101,Nlgn1
chr1,refGene,transcript,115684737,116587322,.,+,.,gene_id Cntnap5a; transcript_id NM_001077425;  gene_name Cntnap5a;,902585,Cntnap5a
chr1,refGene,transcript,69826970,70725132,.,+,.,gene_id Spag16; transcript_id NM_029160;  gene_name Spag16;,898162,Spag16
chr5,refGene,transcript,48389503,49285659,.,-,.,gene_id Kcnip4; transcript_id NM_001199244;  gene_name Kcnip4;,896156,Kcnip4
chr7,refGene,transcript,76229887,77124698,.,+,.,gene_id Agbl1; transcript_id NM_001199224;  gene_name Agbl1;,894811,Agbl1
chr18,refGene,transcript,36952648,37841872,.,+,.,gene_id Gm37013; transcript_id NM_001174154;  gene_name Gm37013;,889224,Gm37013
chr7,refGene,transcript,49975350,50863289,.,+,.,gene_id Nell1; transcript_id NM_001037906;  gene_name Nell1;,887939,Nell1
chr14,refGene,transcript,93013700,93890679,.,-,.,gene_id Pcdh9; transcript_id NM_001346722;  gene_name Pcdh9;,876979,Pcdh9
chr18,refGene,transcript,36967631,37841872,.,+,.,gene_id Gm38666; transcript_id NM_001301256;  gene_name Gm38666;,874241,Gm38666
chr3,refGene,transcript,118562180,119432924,.,+,.,gene_id Dpyd; transcript_id NM_170778;  gene_name Dpyd;,870744,Dpyd
chr12,refGene,transcript,34047582,34917095,.,-,.,gene_id Hdac9; transcript_id NM_001271386;  gene_name Hdac9;,869513,Hdac9
chr18,refGene,transcript,36973802,37841872,.,+,.,gene_id Gm38667; transcript_id NM_001301259;  gene_name Gm38667;,868070,Gm38667
chr6,refGene,transcript,27275121,28135146,.,-,.,gene_id Grm8; transcript_id NM_001361125;  gene_name Grm8;,860025,Grm8
chr15,refGene,transcript,30172534,31029343,.,+,.,gene_id Ctnnd2; transcript_id NM_008729;  gene_name Ctnnd2;,856809,Ctnnd2
chr2,refGene,transcript,6539699,7396198,.,-,.,gene_id Celf2; transcript_id NM_001110231;  gene_name Celf2;,856499,Celf2
chr19,refGene,transcript,22139046,22995410,.,+,.,gene_id Trpm3; transcript_id NM_001035243;  gene_name Trpm3;,856364,Trpm3
chr14,refGene,transcript,27622407,28478537,.,+,.,gene_id Erc2; transcript_id NM_001347497;  gene_name Erc2;,856130,Erc2
chr8,refGene,transcript,65618040,66471637,.,+,.,gene_id Marchf1; transcript_id NM_001293784;  gene_name Marchf1;,853597,Marchf1
chr17,refGene,transcript,69969073,70821413,.,+,.,gene_id Dlgap1; transcript_id NM_001347412;  gene_name Dlgap1;,852340,Dlgap1
chr13,refGene,transcript,16857475,17694765,.,-,.,gene_id Sugct; transcript_id NM_138654;  gene_name Sugct;,837290,Sugct
chr10,refGene,transcript,73821867,74649732,.,+,.,gene_id Pcdh15; transcript_id NM_001142760;  gene_name Pcdh15;,827865,Pcdh15
chr12,refGene,transcript,53248432,54072172,.,+,.,gene_id Npas3; transcript_id NM_013780;  gene_name Npas3;,823740,Npas3
chr14,refGene,transcript,28904943,29721864,.,-,.,gene_id Cacna2d3; transcript_id NM_009785;  gene_name Cacna2d3;,816921,Cacna2d3
chr5,refGene,transcript,81020752,81825133,.,+,.,gene_id Adgrl3; transcript_id NM_001359830;  gene_name Adgrl3;,804381,Adgrl3
chr4,refGene,transcript,151059523,151861768,.,-,.,gene_id Camta1; transcript_id NM_001081557;  gene_name Camta1;,802245,Camta1
chr14,refGene,transcript,3332364,4132783,.,+,.,gene_id Gm3752; transcript_id NM_001374190;  gene_name Gm3752;,800419,Gm3752
chr12,refGene,transcript,116485720,117278167,.,+,.,gene_id Ptprn2; transcript_id NM_011215;  gene_name Ptprn2;,792447,Ptprn2
chr6,refGene,transcript,80018877,80810143,.,+,.,gene_id Lrrtm4; transcript_id NM_001134743;  gene_name Lrrtm4;,791266,Lrrtm4
chr8,refGene,transcript,81342562,82127917,.,+,.,gene_id Inpp4b; transcript_id NM_001297596;  gene_name Inpp4b;,785355,Inpp4b
chr1,refGene,transcript,25067476,25829707,.,-,.,gene_id Adgrb3; transcript_id NM_175642;  gene_name Adgrb3;,762231,Adgrb3
chr14,refGene,transcript,34820136,35581115,.,+,.,gene_id Grid1; transcript_id NM_008166;  gene_name Grid1;,760979,Grid1
chr12,refGene,transcript,66466059,67222549,.,-,.,gene_id Mdga2; transcript_id NM_001193266;  gene_name Mdga2;,756490,Mdga2
chr3,refGene,transcript,156561794,157316464,.,+,.,gene_id Negr1; transcript_id NM_001039094;  gene_name Negr1;,754670,Negr1
chr12,refGene,transcript,37880174,38634239,.,+,.,gene_id Dgkb; transcript_id NM_001361688;  gene_name Dgkb;,754065,Dgkb
chr8,refGene,transcript,14095875,14847686,.,+,.,gene_id Dlgap2; transcript_id NM_172910;  gene_name Dlgap2;,751811,Dlgap2
chrX,refGene,transcript,42532393,43274784,.,-,.,gene_id Tenm1; transcript_id NM_011855;  gene_name Tenm1;,742391,Tenm1
chr7,refGene,transcript,96171244,96911092,.,+,.,gene_id Tenm4; transcript_id NM_001310762;  gene_name Tenm4;,739848,Tenm4
chr17,refGene,transcript,71868988,72604307,.,-,.,gene_id Alk; transcript_id NM_007439;  gene_name Alk;,735319,Alk
chr9,refGene,transcript,68653786,69388246,.,+,.,gene_id Rora; transcript_id NM_013646;  gene_name Rora;,734460,Rora
chr3,refGene,transcript,67892220,68626482,.,+,.,gene_id Iqschfp; transcript_id NM_001113419;  gene_name Iqschfp;,734262,Iqschfp
chr14,refGene,transcript,119138265,119869815,.,+,.,gene_id Hs6st3; transcript_id NM_015820;  gene_name Hs6st3;,731550,Hs6st3
chr2,refGene,transcript,15526479,16255557,.,+,.,gene_id Malrd1; transcript_id NM_001310455;  gene_name Malrd1;,729078,Malrd1
chr6,refGene,transcript,33249128,33973978,.,+,.,gene_id Exoc4; transcript_id NM_009148;  gene_name Exoc4;,724850,Exoc4
chr1,refGene,transcript,99772401,100490598,.,+,.,gene_id Cntnap5b; transcript_id NM_172851;  gene_name Cntnap5b;,718197,Cntnap5b
chrX,refGene,transcript,129749742,130465833,.,+,.,gene_id Diaph2; transcript_id NM_172493;  gene_name Diaph2;,716091,Diaph2
chr1,refGene,transcript,123332138,124045559,.,-,.,gene_id Dpp10; transcript_id NM_199021;  gene_name Dpp10;,713421,Dpp10
chr16,refGene,transcript,42907645,43619123,.,+,.,gene_id Zbtb20; transcript_id NM_001285805;  gene_name Zbtb20;,711478,Zbtb20
chr3,refGene,transcript,13471655,14182287,.,+,.,gene_id Ralyl; transcript_id NM_001163328;  gene_name Ralyl;,710632,Ralyl
chr10,refGene,transcript,101681487,102391468,.,+,.,gene_id Mgat4c; transcript_id NM_001205098;  gene_name Mgat4c;,709981,Mgat4c
chr14,refGene,transcript,23298694,24004205,.,-,.,gene_id Kcnma1; transcript_id NM_001253367;  gene_name Kcnma1;,705511,Kcnma1
chr1,refGene,transcript,188262838,188965039,.,+,.,gene_id Ush2a; transcript_id NM_021408;  gene_name Ush2a;,702201,Ush2a
chr14,refGene,transcript,123978291,124677127,.,-,.,gene_id Fgf14; transcript_id NM_207667;  gene_name Fgf14;,698836,Fgf14
chr10,refGene,transcript,49093681,49788766,.,-,.,gene_id Grik2; transcript_id NM_010349;  gene_name Grik2;,695085,Grik2
chr2,refGene,transcript,134786164,135475258,.,+,.,gene_id Plcb1; transcript_id NM_001145830;  gene_name Plcb1;,689094,Plcb1
chr14,refGene,transcript,11553553,12242039,.,+,.,gene_id Ptprg; transcript_id NM_008981;  gene_name Ptprg;,688486,Ptprg
chr17,refGene,transcript,66666848,67354491,.,-,.,gene_id Ptprm; transcript_id NM_001357625;  gene_name Ptprm;,687643,Ptprm
chr2,refGene,transcript,54436387,55117744,.,+,.,gene_id Galnt13; transcript_id NM_173030;  gene_name Galnt13;,681357,Galnt13
chr7,refGene,transcript,56716463,57387215,.,-,.,gene_id Gabrg3; transcript_id NM_008074;  gene_name Gabrg3;,670752,Gabrg3
chr13,refGene,transcript,29191746,29855673,.,-,.,gene_id Cdkal1; transcript_id NR_131896;  gene_name Cdkal1;,663927,Cdkal1
chr4,refGene,transcript,20118874,20778668,.,-,.,gene_id Nkain3; transcript_id NM_001290410;  gene_name Nkain3;,659794,Nkain3
chr14,refGene,transcript,16430840,17082331,.,-,.,gene_id Rarb; transcript_id NM_001289761;  gene_name Rarb;,651491,Rarb
chr7,refGene,transcript,48959073,49610088,.,+,.,gene_id Nav2; transcript_id NM_001111016;  gene_name Nav2;,651015,Nav2
chr5,refGene,transcript,127783491,128433077,.,-,.,gene_id Tmem132d; transcript_id NM_172885;  gene_name Tmem132d;,649586,Tmem132d
chr2,refGene,transcript,43748824,44395953,.,+,.,gene_id Arhgap15; transcript_id NM_001301831;  gene_name Arhgap15;,647129,Arhgap15
chr13,refGene,transcript,76384961,77031810,.,+,.,gene_id Mctp1; transcript_id NM_030174;  gene_name Mctp1;,646849,Mctp1
chr17,refGene,transcript,57769211,58411631,.,+,.,gene_id Cntnap5c; transcript_id NM_001081653;  gene_name Cntnap5c;,642420,Cntnap5c
chr10,refGene,transcript,26981285,27616942,.,-,.,gene_id Lama2; transcript_id NM_008481;  gene_name Lama2;,635657,Lama2
chr3,refGene,transcript,76074561,76710005,.,+,.,gene_id Fstl5; transcript_id NM_178673;  gene_name Fstl5;,635444,Fstl5
chr10,refGene,transcript,119454034,120087260,.,+,.,gene_id Grip1; transcript_id NM_001277293;  gene_name Grip1;,633226,Grip1
chrX,refGene,transcript,120290327,120910618,.,+,.,gene_id Pcdh11x; transcript_id NM_001271810;  gene_name Pcdh11x;,620291,Pcdh11x
chr3,refGene,transcript,29081787,29691056,.,+,.,gene_id Egfem1; transcript_id NR_151636;  gene_name Egfem1;,609269,Egfem1
chr6,refGene,transcript,118587240,119196409,.,-,.,gene_id Cacna1c; transcript_id NM_001255998;  gene_name Cacna1c;,609169,Cacna1c
chr6,refGene,transcript,93675453,94283917,.,-,.,gene_id Magi1; transcript_id NM_001286784;  gene_name Magi1;,608464,Magi1
chr1,refGene,transcript,187609006,188214884,.,+,.,gene_id Esrrg; transcript_id NM_001243792;  gene_name Esrrg;,605878,Esrrg
chr13,refGene,transcript,102732489,103334492,.,-,.,gene_id Mast4; transcript_id NM_175171;  gene_name Mast4;,602003,Mast4
chr19,refGene,transcript,42788595,43388355,.,-,.,gene_id Hpse2; transcript_id NM_001081257;  gene_name Hpse2;,599760,Hpse2
chr19,refGene,transcript,48206025,48805505,.,+,.,gene_id Sorcs3; transcript_id NM_025696;  gene_name Sorcs3;,599480,Sorcs3
chr16,refGene,transcript,24393350,24992578,.,+,.,gene_id Lpp; transcript_id NM_178665;  gene_name Lpp;,599228,Lpp
chr2,refGene,transcript,4017683,4614043,.,+,.,gene_id Frmd4a; transcript_id NM_001347086;  gene_name Frmd4a;,596360,Frmd4a
chr6,refGene,transcript,98925342,99520993,.,-,.,gene_id Foxp1; transcript_id NM_001347345;  gene_name Foxp1;,595651,Foxp1
chr16,refGene,transcript,28157783,28753243,.,-,.,gene_id Fgf12; transcript_id NM_010199;  gene_name Fgf12;,595460,Fgf12
chr11,refGene,transcript,25616846,26210576,.,-,.,gene_id 5730522E02Rik; transcript_id NR_027973;  gene_name 5730522E02Rik;,593730,5730522E02Rik
chr9,refGene,transcript,15910190,16502054,.,-,.,gene_id Fat3; transcript_id NM_001080814;  gene_name Fat3;,591864,Fat3
chr9,refGene,transcript,97444395,98033167,.,-,.,gene_id Clstn2; transcript_id NM_022319;  gene_name Clstn2;,588772,Clstn2
chr11,refGene,transcript,35121456,35708507,.,+,.,gene_id Slit3; transcript_id NM_011412;  gene_name Slit3;,587051,Slit3
chr2,refGene,transcript,112631382,113217083,.,-,.,gene_id Ryr3; transcript_id NM_001319156;  gene_name Ryr3;,585701,Ryr3
chr4,refGene,transcript,127988044,128567656,.,+,.,gene_id Csmd2; transcript_id NM_001281955;  gene_name Csmd2;,579612,Csmd2
chr16,refGene,transcript,96592079,97170735,.,-,.,gene_id Dscam; transcript_id NM_031174;  gene_name Dscam;,578656,Dscam
chr2,refGene,transcript,124089969,124667789,.,+,.,gene_id Sema6d; transcript_id NM_001290997;  gene_name Sema6d;,577820,Sema6d
chr3,refGene,transcript,126921607,127499115,.,-,.,gene_id Ank2; transcript_id NM_001327938;  gene_name Ank2;,577508,Ank2
chr5,refGene,transcript,4803384,5380251,.,-,.,gene_id Cdk14; transcript_id NM_011074;  gene_name Cdk14;,576867,Cdk14
chr6,refGene,transcript,23262774,23839421,.,-,.,gene_id Cadps2; transcript_id NM_153163;  gene_name Cadps2;,576647,Cadps2
chr5,refGene,transcript,6769030,7344378,.,-,.,gene_id Zfp804b; transcript_id NM_001163223;  gene_name Zfp804b;,575348,Zfp804b
chr8,refGene,transcript,28646717,29219636,.,-,.,gene_id Unc5d; transcript_id NM_001347501;  gene_name Unc5d;,572919,Unc5d
chr7,refGene,transcript,115470872,116038744,.,-,.,gene_id Sox6; transcript_id NM_001025559;  gene_name Sox6;,567872,Sox6
chr1,refGene,transcript,178951960,179518041,.,-,.,gene_id Smyd3; transcript_id NM_027188;  gene_name Smyd3;,566081,Smyd3
chr13,refGene,transcript,8202866,8768762,.,+,.,gene_id Adarb2; transcript_id NR_110345;  gene_name Adarb2;,565896,Adarb2
chr8,refGene,transcript,9206006,9771157,.,-,.,gene_id Fam155a; transcript_id NM_001347127;  gene_name Fam155a;,565151,Fam155a
chr14,refGene,transcript,77156763,77721763,.,+,.,gene_id Enox1; transcript_id NM_001253759;  gene_name Enox1;,565000,Enox1
chr1,refGene,transcript,21398399,21962650,.,-,.,gene_id Kcnq5; transcript_id NM_001310477;  gene_name Kcnq5;,564251,Kcnq5
chr1,refGene,transcript,11414105,11975902,.,+,.,gene_id A830018L16Rik; transcript_id NM_001160369;  gene_name A830018L16Rik;,561797,A830018L16Rik
chr3,refGene,transcript,68064802,68626482,.,+,.,gene_id Schip1; transcript_id NM_001113420;  gene_name Schip1;,561680,Schip1
chr9,refGene,transcript,94669892,95230452,.,+,.,gene_id Slc9a9; transcript_id NM_177909;  gene_name Slc9a9;,560560,Slc9a9
chr1,refGene,transcript,20057779,20618057,.,-,.,gene_id Pkhd1; transcript_id NM_153179;  gene_name Pkhd1;,560278,Pkhd1
chr15,refGene,transcript,35371118,35931229,.,+,.,gene_id Vps13b; transcript_id NM_177151;  gene_name Vps13b;,560111,Vps13b
chr3,refGene,transcript,55625198,56183701,.,-,.,gene_id Nbea; transcript_id NM_030595;  gene_name Nbea;,558503,Nbea
chr3,refGene,transcript,29951296,30509759,.,-,.,gene_id Mecom; transcript_id NM_001370769;  gene_name Mecom;,558463,Mecom
chr3,refGene,transcript,86224690,86782694,.,+,.,gene_id Lrba; transcript_id NM_030695;  gene_name Lrba;,558004,Lrba
chr11,refGene,transcript,34226821,34783905,.,-,.,gene_id Dock2; transcript_id NM_033374;  gene_name Dock2;,557084,Dock2
chr13,refGene,transcript,11553103,12106945,.,-,.,gene_id Ryr2; transcript_id NM_023868;  gene_name Ryr2;,553842,Ryr2
chr7,refGene,transcript,87584168,88135063,.,+,.,gene_id Grm5; transcript_id NM_001143834;  gene_name Grm5;,550895,Grm5
chr8,refGene,transcript,127064056,127612286,.,+,.,gene_id Pard3; transcript_id NM_001309392;  gene_name Pard3;,548230,Pard3
chr9,refGene,transcript,34488731,35036307,.,+,.,gene_id Kirrel3; transcript_id NM_001190914;  gene_name Kirrel3;,547576,Kirrel3
chr12,refGene,transcript,82616925,83162056,.,+,.,gene_id Rgs6; transcript_id NM_001310478;  gene_name Rgs6;,545131,Rgs6
chr16,refGene,transcript,33969073,34514027,.,-,.,gene_id Kalrn; transcript_id NM_177357;  gene_name Kalrn;,544954,Kalrn
chr9,refGene,transcript,59966931,60511035,.,-,.,gene_id Thsd4; transcript_id NM_001040426;  gene_name Thsd4;,544104,Thsd4
chr6,refGene,transcript,96113154,96657198,.,+,.,gene_id Tafa1; transcript_id NM_182808;  gene_name Tafa1;,544044,Tafa1
chr6,refGene,transcript,14901349,15441977,.,+,.,gene_id Foxp2; transcript_id NM_053242;  gene_name Foxp2;,540628,Foxp2
chr8,refGene,transcript,72814598,73353540,.,-,.,gene_id Large1; transcript_id NM_010687;  gene_name Large1;,538942,Large1
chrX,refGene,transcript,113297510,113836386,.,+,.,gene_id Dach2; transcript_id NM_001289732;  gene_name Dach2;,538876,Dach2
chr13,refGene,transcript,81095068,81633144,.,-,.,gene_id Adgrv1; transcript_id NM_054053;  gene_name Adgrv1;,538076,Adgrv1
chr4,refGene,transcript,97581943,98118876,.,+,.,gene_id Nfia; transcript_id NM_001122952;  gene_name Nfia;,536933,Nfia
chr1,refGene,transcript,160256572,160792938,.,-,.,gene_id Rabgap1l; transcript_id NM_013862;  gene_name Rabgap1l;,536366,Rabgap1l
chr8,refGene,transcript,75448694,75984507,.,+,.,gene_id Iqcm; transcript_id NM_027944;  gene_name Iqcm;,535813,Iqcm
chr19,refGene,transcript,50143301,50678646,.,-,.,gene_id Sorcs1; transcript_id NM_001252501;  gene_name Sorcs1;,535345,Sorcs1
chr10,refGene,transcript,5020196,5550692,.,-,.,gene_id Syne1; transcript_id NM_001347732;  gene_name Syne1;,530496,Syne1
chr5,refGene,transcript,22746054,23275597,.,+,.,gene_id Lhfpl3; transcript_id NM_001359998;  gene_name Lhfpl3;,529543,Lhfpl3
chr3,refGene,transcript,73066351,73594830,.,+,.,gene_id Gm20754; transcript_id NR_040557;  gene_name Gm20754;,528479,Gm20754
chrX,refGene,transcript,59062146,59585572,.,-,.,gene_id Fgf13; transcript_id NM_001290414;  gene_name Fgf13;,523426,Fgf13
chr3,refGene,transcript,153202509,153725133,.,-,.,gene_id St6galnac3; transcript_id NM_011372;  gene_name St6galnac3;,522624,St6galnac3
chr10,refGene,transcript,28074820,28597397,.,+,.,gene_id Ptprk; transcript_id NM_008983;  gene_name Ptprk;,522577,Ptprk
chr19,refGene,transcript,57611034,58133340,.,+,.,gene_id Atrnl1; transcript_id NM_181415;  gene_name Atrnl1;,522306,Atrnl1
chr4,refGene,transcript,113477891,113999503,.,-,.,gene_id Skint5; transcript_id NM_001167878;  gene_name Skint5;,521612,Skint5
chr9,refGene,transcript,28404328,28925410,.,+,.,gene_id Opcml; transcript_id NM_177906;  gene_name Opcml;,521082,Opcml
chr2,refGene,transcript,20289913,20810535,.,+,.,gene_id Etl4; transcript_id NM_001081006;  gene_name Etl4;,520622,Etl4
chr1,refGene,transcript,22285973,22806003,.,-,.,gene_id Rims1; transcript_id NM_053270;  gene_name Rims1;,520030,Rims1
chr13,refGene,transcript,31819586,32338544,.,-,.,gene_id Gmds; transcript_id NM_146041;  gene_name Gmds;,518958,Gmds
chr13,refGene,transcript,20090507,20608353,.,+,.,gene_id Elmo1; transcript_id NM_080288;  gene_name Elmo1;,517846,Elmo1
chr12,refGene,transcript,79297282,79814690,.,+,.,gene_id Rad51b; transcript_id NM_009014;  gene_name Rad51b;,517408,Rad51b
